gvkey,adate,qdate,public_date,bm,evm
12141,20110630,20110930,20120131,0.289,7.664
12141,20110630,20111231,20120229,0.3,7.582
12141,20110630,20111231,20120331,0.3,7.582
12141,20110630,20111231,20120430,0.3,7.582
12141,20110630,20120331,20120531,0.259,7.87
12141,20110630,20120331,20120630,0.259,7.87
12141,20110630,20120331,20120731,0.259,7.87
12141,20120630,20120630,20120831,0.266,8.736
12141,20120630,20120630,20120930,0.266,8.736
12141,20120630,20120630,20121031,0.266,8.736
12141,20120630,20120930,20121130,0.283,8.99
12141,20120630,20120930,20121231,0.283,8.99
12141,20120630,20120930,20130131,0.283,8.99
12141,20120630,20121231,20130228,0.335,9.029
12141,20120630,20121231,20130331,0.335,9.029
12141,20120630,20121231,20130430,0.335,9.029
12141,20120630,20130331,20130531,0.331,8.141
12141,20120630,20130331,20130630,0.331,8.141
12141,20120630,20130331,20130731,0.331,8.141
12141,20130630,20130630,20130831,0.28,9.836
12141,20130630,20130630,20130930,0.28,9.836
12141,20130630,20130630,20131031,0.28,9.836
12141,20130630,20130930,20131130,0.302,8.362
12141,20130630,20130930,20131231,0.302,8.362
16721,20090331,20090930,20100131,0.434,-15.733
16721,20090331,20091231,20100228,0.456,-13.069
16721,20090331,20091231,20100331,0.456,-13.069
16721,20090331,20091231,20100430,0.456,-13.069
16721,20100331,20100331,20100531,0.444,-17.878
16721,20100331,20100331,20100630,0.444,-17.878
16721,20100331,20100331,20100731,0.444,-17.878
16721,20100331,20100630,20100831,0.58,-477.03
16721,20100331,20100630,20100930,0.58,-477.03
16721,20100331,20100630,20101031,0.58,-477.03
16721,20100331,20100930,20101130,0.483,50.842
16721,20100331,20100930,20101231,0.483,50.842
16721,20100331,20100930,20110131,0.483,50.842
16721,20100331,20101231,20110228,0.432,-151.62
16721,20100331,20101231,20110331,0.432,-151.62
16721,20100331,20101231,20110430,0.432,-151.62
16721,20110331,20110331,20110531,0.4,1298.99
16721,20110331,20110331,20110630,0.4,1298.99
16721,20110331,20110331,20110731,0.4,1298.99
16721,20110331,20110630,20110831,0.357,43.514
16721,20110331,20110630,20110930,0.357,43.514
16721,20110331,20110630,20111031,0.357,43.514
16721,20110331,20110930,20111130,0.386,104.215
16721,20110331,20110930,20111231,0.386,104.215
16721,20110331,20110930,20120131,0.386,104.215
16721,20110331,20111231,20120229,0.343,302.064
16721,20110331,20111231,20120331,0.343,302.064
16721,20110331,20111231,20120430,0.343,302.064
16721,20120331,20120331,20120531,0.467,20.342
16721,20120331,20120331,20120630,0.467,20.342
16721,20120331,20120331,20120731,0.467,20.342
16721,20120331,20120630,20120831,0.65,23.13
16721,20120331,20120630,20120930,0.65,23.13
16721,20120331,20120630,20121031,0.65,23.13
16721,20120331,20120930,20121130,0.545,20.916
16721,20120331,20120930,20121231,0.545,20.916
16721,20120331,20120930,20130131,0.545,20.916
