date,mktrf,smb,hml,rmw,cma,rf
196307,-0.39,-0.46,-0.82,0.72,-1.16,0.27
196308,5.07,-0.81,1.63,0.42,-0.4,0.25
196309,-1.57,-0.48,0.19,-0.8,0.23,0.27
196310,2.53,-1.29,-0.11,2.75,-2.26,0.29
196311,-0.85,-0.84,1.66,-0.34,2.22,0.27
196312,1.83,-1.87,-0.11,0.18,-0.31,0.29
196401,2.24,0.09,1.64,0.21,1.51,0.3
196402,1.54,0.3,2.83,0.04,0.87,0.26
196403,1.41,1.43,3.36,-2.01,2.94,0.31
196404,0.1,-1.52,-0.42,-1.39,-1.09,0.29
196405,1.42,-0.67,1.88,-0.28,0.24,0.26
196406,1.27,0.07,0.72,-0.36,0.13,0.3
196407,1.74,0.47,0.7,0.02,1.91,0.3
196408,-1.44,0.3,0.12,-0.09,0.35,0.28
196409,2.69,-0.31,1.65,-0.36,0.59,0.28
196410,0.59,0.91,1.14,-0.18,0.45,0.29
196411,0,-0.28,-1.96,0.62,-0.17,0.29
196412,0.03,-0.56,-2.58,1.27,-1.64,0.31
196501,3.54,2.48,0.2,0.75,0.15,0.28
196502,0.44,3.3,0.19,0.26,-0.67,0.3
196503,-1.34,2.01,1.07,-0.33,0.75,0.36
196504,3.11,1.19,0.7,0.34,-2.3,0.31
196505,-0.77,0.04,-1.62,-0.47,0.73,0.31
196506,-5.51,-4.31,0.58,0.13,0.44,0.35
196507,1.43,1.05,2.21,-1.43,0,0.31
196508,2.73,2.74,-1.07,1.9,-0.72,0.33
196509,2.86,0.62,-0.11,-1.07,0.84,0.31
196510,2.6,3.41,1.6,1.24,-0.73,0.31
196511,-0.03,5.21,0.23,-1.08,-0.89,0.35
196512,1.01,2.67,2.08,-1.13,-0.5,0.33
196601,0.72,4.67,3.57,-2.9,-0.06,0.38
196602,-1.21,4.79,0.36,0.1,-1.45,0.35
196603,-2.51,0.24,-2.05,1.27,-0.04,0.38
196604,2.14,3.36,-0.44,0.4,-0.92,0.34
196605,-5.66,-5.15,-1.65,1.76,-1.5,0.41
196606,-1.44,1.37,0.49,-0.04,0.77,0.38
196607,-1.63,-0.4,0.82,-0.5,1.72,0.35
196608,-7.91,-3.06,0.56,0.27,0.88,0.41
196609,-1.06,-1.14,0.5,-1.17,2.47,0.4
196610,3.86,-6.47,2.81,-3.54,4.26,0.45
196611,1.4,3.46,-4.6,4.17,-6.63,0.4
196612,0.13,1.95,-1.29,0.86,-0.22,0.4
196701,8.15,9.09,2.03,0.57,-3.16,0.43
196702,0.78,3.08,-2.26,2.15,-0.98,0.36
196703,3.99,1.99,0.19,0.63,-1.59,0.39
196704,3.89,0.42,-2.54,2.57,-3.7,0.32
196705,-4.33,2.34,0.89,-1.85,1.64,0.33
196706,2.41,6.48,0.94,-0.64,-2.4,0.27
196707,4.58,3.24,2.65,-1.58,2.72,0.31
196708,-0.89,0.76,1.47,0.51,1.39,0.31
196709,3.11,2.4,-2.47,-0.02,-0.96,0.32
196710,-3.09,0.48,-3.39,0.9,-2.59,0.39
196711,0.37,-0.01,-1.71,1.29,-2.29,0.36
196712,3.05,5.71,-0.39,-1.03,0.1,0.33
196801,-4.06,4.53,4.76,-3.88,6.44,0.4
196802,-3.75,-2.91,1.17,-0.11,2.49,0.39
196803,0.2,-1.54,-0.59,1.04,-1.17,0.38
196804,9.05,6.19,-1.03,2.05,-3.68,0.43
196805,2.28,6.93,0.84,-0.22,-1.81,0.45
196806,0.69,-0.26,0.67,-1,2.75,0.43
196807,-2.72,-1.37,5.48,-3.15,3.59,0.48
196808,1.34,2.3,1.01,-0.56,0.43,0.42
196809,4.03,2.78,0.24,-2.2,0.87,0.43
196810,0.42,-0.45,2.9,-1.37,2.74,0.44
196811,5.43,2.43,-0.9,0.51,-2.5,0.42
196812,-3.94,3.6,0.02,-1.76,1.64,0.43
196901,-1.25,-0.48,1.69,-1.52,1.38,0.53
196902,-5.84,-4.11,0.92,2.1,0.8,0.46
196903,2.64,-0.41,-0.45,-1.41,-0.45,0.46
196904,1.46,-0.81,0.05,0.32,0.11,0.53
196905,-0.1,-0.18,0.73,-1.01,1.52,0.48
196906,-7.18,-5.47,-1.09,4.24,-1.52,0.51
196907,-7,-3.36,1.43,1.32,1.96,0.53
196908,4.68,0.69,-3.86,1.22,-4.07,0.5
196909,-2.98,1.31,-3.22,3.32,-0.88,0.62
196910,5.06,3.88,-3.22,-0.15,-2.02,0.6
196911,-3.79,-2.4,-1.11,1.32,0.31,0.52
196912,-2.63,-3.7,-3.07,2.13,-2.08,0.64
197001,-8.1,3.08,3.06,-1.97,3.88,0.6
197002,5.13,-2.56,4.03,-2.16,3.02,0.62
197003,-1.06,-2.42,4.25,-1.04,4.43,0.57
197004,-11,-6.29,6.4,-0.98,5.89,0.5
197005,-6.92,-4.4,3.65,-1.42,3.63,0.53
197006,-5.79,-2.15,0.79,0.02,2.84,0.58
197007,6.93,-0.71,1.03,-0.14,1.91,0.52
197008,4.49,1.54,1.07,0.65,-0.15,0.53
197009,4.18,8.48,-5.5,0.39,-5.93,0.54
197010,-2.28,-4.48,0.2,1.89,2.39,0.46
197011,4.59,-4.01,1.68,1.69,1.59,0.46
197012,5.72,2.99,0.99,0.07,0.28,0.42
197101,4.84,7.57,1.35,-2.04,-0.14,0.38
197102,1.41,2.04,-1.34,0.54,-0.72,0.33
197103,4.13,2.16,-4,2.02,-2.7,0.3
197104,3.15,-0.36,0.74,-1.43,0.72,0.28
197105,-3.98,-1.18,-1.38,1.29,0.3,0.29
197106,-0.1,-1.45,-2,1.5,-1.74,0.37
197107,-4.5,-1.4,0.14,0.51,1.62,0.4
197108,3.79,-0.19,2.72,-0.36,2.62,0.47
197109,-0.85,0.21,-2.95,2.53,-1.55,0.37
197110,-4.42,-1.63,-0.48,1.35,-1.26,0.37
197111,-0.46,-2.89,-1.75,2.25,-0.39,0.37
197112,8.71,3.23,-0.24,-0.45,-1.79,0.37
197201,2.49,6.31,2.06,-1.79,0.29,0.29
197202,2.87,0.99,-2.75,1.98,-0.54,0.25
197203,0.63,-0.48,-1.66,1.48,-0.17,0.27
197204,0.29,0.14,0.39,-0.46,-0.89,0.29
197205,1.25,-3.15,-2.73,2.4,-1.86,0.3
197206,-2.43,-0.36,-2.42,1.73,-0.35,0.29
197207,-0.8,-2.74,0.77,1.02,-0.59,0.31
197208,3.26,-3.52,4.64,-2.16,2.95,0.29
197209,-1.14,-2.26,0.5,1.63,-1.97,0.34
197210,0.52,-2.51,1.32,-0.02,-0.04,0.4
197211,4.6,-0.55,4.76,-2.02,3.35,0.37
197212,0.62,-1.82,-2.26,2.44,-2.2,0.37
197301,-3.29,-2.8,2.7,0.46,0.93,0.44
197302,-4.85,-4.02,1.7,-0.52,-0.01,0.41
197303,-1.29,-2.36,2.83,-1.03,0.73,0.46
197304,-5.68,-3.01,5.69,-1.74,2.71,0.52
197305,-2.94,-5.99,0.21,1.9,-1.79,0.51
197306,-1.56,-2.54,1.42,-0.33,0.22,0.51
197307,5.04,7.25,-5.18,0.01,-3.42,0.64
197308,-3.84,-1.76,1.19,-1.45,1.32,0.7
197309,4.75,3.54,2.11,-2.22,1.85,0.68
197310,-0.86,-0.21,1.74,-1.94,2.73,0.65
197311,-12.74,-7.3,4.01,-2.81,1.51,0.56
197312,0.58,-4.63,4.24,-3.02,2.33,0.64
197401,-0.17,10.5,5.86,-2.98,4.35,0.63
197402,-0.48,0.16,2.55,-1.97,2.71,0.58
197403,-2.81,2.61,-0.09,2.96,0.41,0.56
197404,-5.29,-0.63,1.01,2.81,1.79,0.75
197405,-4.67,-3.21,-2.07,5.06,-0.12,0.75
197406,-2.83,0,0.77,0.67,3.12,0.6
197407,-8.05,1.99,5.22,-3.24,4.58,0.7
197408,-9.35,0.32,2.56,-0.12,2.55,0.6
197409,-11.77,1.46,5.54,-4.4,5.91,0.81
197410,16.1,-6.85,-9.72,0.02,-2.93,0.51
197411,-4.51,-1.45,-0.1,-3.39,2.95,0.54
197412,-3.45,-4.35,0.07,-0.59,3.23,0.7
197501,13.66,12.8,8.22,-0.95,-0.87,0.58
197502,5.56,-0.66,-4.5,1.06,-2.14,0.43
197503,2.66,4,2.41,1.34,-1.24,0.41
197504,4.23,-0.58,-1.11,1.48,-1.35,0.44
197505,5.19,2.9,-4.08,-0.99,-0.61,0.44
197506,4.83,1.31,1.28,-2.9,1.07,0.41
197507,-6.59,3.41,1.69,0.47,1.19,0.48
197508,-2.85,-2.8,-0.9,1.06,-0.89,0.48
197509,-4.26,0.01,0.35,0.67,0.5,0.53
197510,5.31,-4.23,0.3,-0.42,2.27,0.56
197511,2.65,-1.06,1.99,-0.53,1.71,0.41
197512,-1.6,-0.03,1.76,-0.1,0.6,0.48
197601,12.16,6.36,8.57,-1.85,2.36,0.47
197602,0.32,7.98,5.77,-2.66,3.84,0.34
197603,2.33,-1.33,-0.02,-0.55,1.09,0.4
197604,-1.49,0.13,-0.06,0.44,-1.1,0.42
197605,-1.34,-1.12,-1.33,2.55,-1.42,0.37
197606,4.05,-1.13,0.68,-0.52,0.93,0.43
197607,-1.07,0.62,1.74,-1.11,0.35,0.47
197608,-0.56,-2.03,0.77,-0.44,-0.54,0.42
197609,2.06,0.13,-0.29,0.99,-1.14,0.44
197610,-2.42,0.15,-0.13,-0.23,-0.28,0.41
197611,0.36,2.7,1.52,-1.22,0.1,0.4
197612,5.65,3.62,2.22,-0.43,2.19,0.4
197701,-4.05,5.92,4.27,-0.45,1.87,0.36
197702,-1.95,1.12,0.49,-0.16,-0.18,0.35
197703,-1.37,1.31,1.03,-0.38,-0.11,0.38
197704,0.15,0.6,3.45,-2,1.13,0.38
197705,-1.46,1.3,0.83,0.37,0.08,0.37
197706,4.71,2.08,-0.65,0.95,-1.2,0.4
197707,-1.69,1.81,-0.61,0.57,0.04,0.42
197708,-1.75,0.89,-2.8,1.09,-0.6,0.44
197709,-0.27,1.55,-0.49,1.13,-0.82,0.43
197710,-4.38,1.5,1.71,-0.25,-0.28,0.49
197711,4,3.6,0.36,-0.15,0.66,0.5
197712,0.27,1.61,-0.35,1.03,-0.67,0.49
197801,-6.01,2.68,3.28,-1.71,1.52,0.49
197802,-1.38,3.64,0.8,0.2,1.04,0.46
197803,2.85,3.73,1.27,-0.48,1.88,0.53
197804,7.88,-0.32,-3.48,2.63,-1.33,0.54
197805,1.76,4.59,-0.63,0.45,0.34,0.51
197806,-1.69,1.6,0.58,-1.4,-0.01,0.54
197807,5.11,0.16,-1.09,1.5,-0.78,0.56
197808,3.75,4.98,-0.48,1.46,0.41,0.56
197809,-1.43,-0.31,1.87,-0.72,1.8,0.62
197810,-11.91,-10.08,1.36,0.16,1.05,0.68
197811,2.71,2.85,-2.21,1.22,-1.22,0.7
197812,0.88,1.09,-2.19,2,-1.39,0.78
197901,4.23,3.86,2.24,-2.49,1.56,0.77
197902,-3.56,0.54,1.18,-1.13,1.02,0.73
197903,5.68,3.18,-0.65,0.66,0.27,0.81
197904,-0.06,2.39,1.07,1.19,0.23,0.8
197905,-2.21,0.47,1.92,-0.86,-0.82,0.82
197906,3.85,1,1.48,-1.72,-0.44,0.81
197907,0.82,1.24,1.68,-0.17,0.59,0.77
197908,5.53,1.94,-1.49,1.49,-1.45,0.77
197909,-0.82,-0.28,-0.89,0.84,0.57,0.83
197910,-8.1,-3.47,-1.89,1.03,0.27,0.87
197911,5.21,2.43,-3.27,0.18,-1.98,0.99
197912,1.79,4.34,-2.03,-0.6,-1.02,0.95
198001,5.51,1.89,1.85,-1.84,2.06,0.8
198002,-1.22,-1.61,0.62,-1.03,3.06,0.89
198003,-12.9,-6.94,-1.06,1.74,-1.34,1.21
198004,3.97,0.99,1.05,-2,0.56,1.26
198005,5.26,2.11,0.44,0.4,-0.49,0.81
198006,3.06,1.48,-0.88,-0.1,-0.93,0.61
198007,6.49,3.95,-6.3,3.94,-2.45,0.53
198008,1.8,4.26,-2.64,2.07,-0.79,0.64
198009,2.19,0.58,-4.79,1.86,-2.82,0.75
198010,1.06,2.35,-2.73,1.41,-1.21,0.95
198011,9.59,-3.4,-8.34,4.22,-5.74,0.96
198012,-4.52,-0.32,2.68,-1.17,1.19,1.31
198101,-5.04,3.37,6.84,-3.44,4.35,1.04
198102,0.56,-0.48,0.96,0.13,2.25,1.07
198103,3.56,3.07,0.67,-2.16,-0.53,1.21
198104,-2.1,4.6,2.26,0.93,1.21,1.08
198105,0.11,2.45,-0.42,0.31,-1.6,1.15
198106,-2.36,-0.97,5.12,-1.41,2.68,1.35
198107,-1.54,-1.99,-0.63,1.07,-3.02,1.24
198108,-7.03,-1.81,4.83,-0.23,1.44,1.28
198109,-7.17,-2.51,5.18,-0.07,2.81,1.24
198110,4.92,2.24,-4.21,3.35,-2.81,1.21
198111,3.36,-1.37,1.89,0.15,0.6,1.07
198112,-3.65,1.19,0.75,0.3,2.39,0.87
198201,-3.24,-1.2,3.14,-1.61,2.11,0.8
198202,-5.86,0.35,6.07,-3.45,4.55,0.92
198203,-1.87,-0.01,3.78,-1.48,2.37,0.98
198204,3.27,1.17,-2.81,1.62,-0.16,1.13
198205,-3.99,0.56,1.82,0.75,-0.08,1.06
198206,-3.09,-0.53,1.51,-0.12,2.67,0.96
198207,-3.19,0.94,0.15,1.11,1.52,1.05
198208,11.14,-4.3,1.16,-1.89,0.15,0.76
198209,1.29,2.59,0.34,2.12,-0.03,0.51
198210,11.3,1.91,-3.68,0.47,-0.37,0.59
198211,4.67,4.49,-1.96,-0.73,0.31,0.63
198212,0.55,0,0.01,-0.14,1.03,0.67
198301,3.6,3.28,-0.86,-1.41,-0.45,0.69
198302,2.59,2.9,0.67,-0.65,1.01,0.62
198303,2.82,1.42,2.07,-0.01,2.82,0.63
198304,6.67,0.49,0.6,-0.19,1.58,0.71
198305,0.52,6.21,-1.39,-1.88,-1.55,0.69
198306,3.07,1.16,-3.86,2.28,-0.91,0.67
198307,-4.07,0.98,5.58,-0.13,2.83,0.74
198308,-0.5,-4.32,5.52,0.52,1.93,0.76
198309,0.92,0.24,1.06,1.15,0.59,0.76
198310,-3.44,-3.82,5.02,-0.74,2.97,0.76
198311,2.16,1.88,-0.64,-0.6,0.67,0.7
198312,-1.78,-0.46,1.68,1.46,1.25,0.73
198401,-1.92,-0.08,7.6,-0.99,2.98,0.76
198402,-4.82,-1.61,3.3,0.85,1.55,0.71
198403,0.63,-0.3,0.48,-0.89,1.08,0.73
198404,-0.52,-1.01,1.24,3.28,0.75,0.81
198405,-5.97,0.12,0.24,2.29,-0.52,0.78
198406,1.82,0.08,-2.61,3.06,-1.5,0.75
198407,-2.74,-2.24,0.43,3.71,-2.11,0.82
198408,10.28,-0.29,-1.81,-0.84,-0.88,0.83
198409,-0.8,0,5.28,1.45,2.49,0.86
198410,-0.84,-1.44,0.49,1.23,-1.22,1
198411,-1.76,-0.98,4.05,0.88,2.07,0.73
198412,1.84,-0.69,-0.16,1.27,-1.32,0.64
198501,7.99,3.5,-5.4,-0.84,-3.34,0.65
198502,1.22,1,-0.14,1.39,1.01,0.58
198503,-0.84,-1.5,4.05,1.22,2.95,0.62
198504,-0.96,-0.1,3.71,1.51,0.74,0.72
198505,5.09,-2.33,-0.85,1.33,-1.46,0.66
198506,1.27,0.39,0.55,1.6,-0.63,0.55
198507,-0.74,2.9,-1.66,-0.55,-0.29,0.62
198508,-1.02,-0.32,2.25,0.05,1.88,0.55
198509,-4.54,-1.81,1.32,1.2,1.61,0.6
198510,4.02,-1.55,0.78,0.77,-1.11,0.65
198511,6.48,0,-2.92,0.35,-2.32,0.61
198512,3.88,-0.4,-1.58,0.85,-1.81,0.65
198601,0.65,1,0.56,-1.99,-2.06,0.56
198602,7.13,-0.76,-0.93,1.1,-1.41,0.53
198603,4.88,-0.55,-0.47,1.3,1,0.6
198604,-1.31,2.92,-2.91,2.99,0.03,0.52
198605,4.62,-1.26,-0.11,2.05,1.1,0.49
198606,1.03,-0.87,1.39,1.77,0.88,0.52
198607,-6.45,-3.55,4.77,-0.75,0.63,0.52
198608,6.07,-4.35,3.51,-1.62,3.22,0.46
198609,-8.6,1.96,3.19,-0.11,3.62,0.45
198610,4.66,-2.33,-1.34,0.18,0.87,0.46
198611,1.17,-1.88,-0.05,1.11,0.63,0.39
198612,-3.27,0.08,0.33,0.98,-0.02,0.49
198701,12.47,-1.51,-3.17,0.23,-1.07,0.42
198702,4.39,3.41,-5.98,-0.79,-2.75,0.43
198703,1.64,0.21,1.64,1.31,4.04,0.47
198704,-2.11,-1.56,-0.32,-0.46,1.18,0.44
198705,0.11,-0.58,0.12,0.65,1.35,0.38
198706,3.94,-2.29,1.06,1.8,0.8,0.48
198707,3.85,-1.08,0.71,-0.39,1.63,0.46
198708,3.52,-0.91,-0.93,1.96,-1.63,0.47
198709,-2.59,0.38,0.28,-0.97,1.89,0.45
198710,-23.24,-8.13,4.23,1.71,2.22,0.6
198711,-7.77,2.85,3.08,-2.06,0.7,0.35
198712,6.81,0.07,-4.45,3.03,-2.5,0.39
198801,4.21,-0.54,5.17,-1.07,2.2,0.29
198802,4.75,3.34,-1.65,1.88,-0.08,0.46
198803,-2.27,6.24,0.75,-0.27,1.89,0.44
198804,0.56,1.13,1.68,-0.2,1.9,0.46
198805,-0.29,-2.6,2.28,-0.76,0.34,0.51
198806,4.79,2.2,-1.11,1.49,-3.38,0.49
198807,-1.25,-0.17,2.27,-0.63,1.47,0.51
198808,-3.31,0.01,2.08,-0.78,1.75,0.59
198809,3.3,-1.31,-0.69,1.74,-0.47,0.62
198810,1.15,-2.95,1.68,1.41,1.05,0.61
198811,-2.29,-1.67,1.27,-0.3,1.58,0.57
198812,1.49,2,-1.55,0.68,-0.37,0.63
198901,6.1,-2.22,0.53,-0.9,0.17,0.55
198902,-2.25,2.66,0.88,-0.76,1.87,0.61
198903,1.57,0.75,0.48,0.01,0.75,0.67
198904,4.33,-0.69,-1.47,0.76,-0.52,0.67
198905,3.35,0,-0.83,0.45,-0.02,0.79
198906,-1.35,-1.07,2.16,0.11,1.5,0.71
198907,7.2,-4.06,-2.83,1.9,-0.6,0.7
198908,1.44,0.43,0.73,0.48,-0.49,0.74
198909,-0.76,0.46,-1.33,1.21,0.61,0.65
198910,-3.67,-3.32,-1.02,0.08,0.03,0.68
198911,1.03,-1.33,-1.11,-1,1.42,0.69
198912,1.16,-2.31,0.3,-0.15,1.46,0.61
199001,-7.85,-1.37,0.86,-1.39,1.32,0.57
199002,1.11,1.17,0.61,-0.2,-0.59,0.57
199003,1.83,1.63,-2.89,2.14,-0.99,0.64
199004,-3.36,-0.41,-2.55,1.59,-0.99,0.69
199005,8.42,-2.38,-3.73,1.78,-1.49,0.68
199006,-1.09,1.37,-1.95,-1.23,-0.36,0.63
199007,-1.9,-3.29,-0.02,-0.44,3.09,0.68
199008,-10.15,-3.88,1.63,-0.43,3.02,0.66
199009,-6.12,-3.77,0.74,0.02,3.73,0.6
199010,-1.92,-5.1,0.29,2.94,-0.44,0.68
199011,6.35,-0.06,-3.11,0.81,-4.74,0.57
199012,2.46,0.65,-1.56,2.91,-2.04,0.6
199101,4.69,3.89,-1.84,1.48,-4.1,0.52
199102,7.19,3.93,-0.54,-0.29,-0.18,0.48
199103,2.65,3.84,-1.24,-0.37,-1.01,0.44
199104,-0.28,0.35,1.4,0.64,0.7,0.53
199105,3.65,0.17,-0.56,2.17,-2.46,0.47
199106,-4.94,0.15,1.21,1.59,0.63,0.42
199107,4.24,-0.96,-1.27,1.47,-1.41,0.49
199108,2.32,1.48,-0.79,0.93,-0.55,0.46
199109,-1.59,1.55,-0.98,-1.78,0.15,0.46
199110,1.29,0.9,-0.44,-1.89,-0.31,0.42
199111,-4.19,-0.88,-1.91,0.9,0.13,0.39
199112,10.84,-2.39,-4.04,3.82,-3.13,0.38
199201,-0.59,9.25,4.5,-1.34,3.19,0.34
199202,1.09,1.38,6.36,0.27,2.03,0.28
199203,-2.66,-0.9,3.66,-0.13,1.94,0.34
199204,1.07,-5.74,4.28,1.74,2.22,0.32
199205,0.3,0.21,1.27,-1.03,0.42,0.28
199206,-2.34,-2.71,3.41,-0.06,1.07,0.32
199207,3.77,-0.64,-0.53,1.23,-0.81,0.31
199208,-2.38,-0.42,-1.04,3.74,-1.58,0.26
199209,1.19,0.51,-0.21,1.71,-0.61,0.26
199210,1.02,2.05,-2.1,1.37,-0.88,0.23
199211,4.13,3.91,-1.48,-0.7,-1.72,0.23
199212,1.53,1.63,2.51,-0.57,0.81,0.28
199301,0.93,2.09,5.89,-1.66,2.9,0.23
199302,0.12,-3.47,6.42,-0.5,4.08,0.22
199303,2.3,0.06,1.24,-0.31,0.87,0.25
199304,-3.05,-0.85,2.61,-3.55,1.42,0.24
199305,2.89,1.88,-3.41,-0.02,-1,0.22
199306,0.31,0.1,2.61,-0.93,1.18,0.25
199307,-0.34,0.9,3.25,-2.16,2.02,0.24
199308,3.71,0.25,-0.45,-1.11,-0.05,0.25
199309,-0.12,3.06,-0.44,0.68,-0.08,0.26
199310,1.41,1.6,-1.55,-0.05,0.6,0.22
199311,-1.89,-1.42,-0.27,1.74,-0.95,0.25
199312,1.65,1.37,0.57,0.81,-0.31,0.23
199401,2.87,-0.16,2.08,-2.31,1.45,0.25
199402,-2.55,2.65,-1.44,2.54,-1.03,0.21
199403,-4.78,-1.02,1.32,0.62,1.27,0.27
199404,0.68,-1.06,1.68,0.89,1.14,0.27
199405,0.58,-2.46,0.19,0.91,0.71,0.31
199406,-3.03,-0.52,1.68,1.05,1.51,0.31
199407,2.82,-1.83,0.6,-0.87,0.13,0.28
199408,4.01,1.24,-2.82,0.51,-1.43,0.37
199409,-2.31,2.65,-1.91,0.45,0.96,0.37
199410,1.34,-2.34,-1.74,0.31,-0.62,0.38
199411,-4.04,0.12,-0.95,0.76,-0.45,0.37
199412,0.86,-0.03,0.53,0.29,0.32,0.44
199501,1.8,-2.73,0.81,0.85,-0.84,0.42
199502,3.63,-0.57,1.04,0.55,-0.32,0.4
199503,2.19,-0.77,-1.06,-0.65,0.18,0.46
199504,2.11,-0.44,2.25,-0.58,1.02,0.44
199505,2.9,-2.03,1.68,0.71,0.09,0.54
199506,2.72,2.95,-2.27,-0.57,-2.43,0.47
199507,3.72,2.12,-1.69,0.64,-1.69,0.45
199508,0.55,1.83,2.72,-1.35,1.64,0.47
199509,3.35,-1.9,-0.76,1.25,0.36,0.43
199510,-1.52,-4.07,-0.75,1.95,-0.05,0.47
199511,3.96,-1.18,0.95,-0.84,1.17,0.42
199512,1.03,0.7,0.86,-1.05,2.97,0.49
199601,2.26,-2.52,0.32,-0.22,2.25,0.43
199602,1.33,1.78,-1.44,0.21,-1.79,0.39
199603,0.73,1.51,0.99,1.14,-0.96,0.39
199604,2.06,4.63,-3.9,0.07,-2.17,0.46
199605,2.36,3.13,-1.21,0.26,-0.21,0.42
199606,-1.14,-3.47,1.55,3.42,1.09,0.4
199607,-5.97,-3.61,4.42,3.23,2.61,0.45
199608,2.77,2.52,-0.43,-0.49,-2.43,0.41
199609,5.01,-1.33,-3.13,1.33,-2.17,0.44
199610,0.86,-3.88,5.1,1.4,2.97,0.42
199611,6.25,-3.8,1.21,1.7,-0.73,0.41
199612,-1.7,3.2,0.86,0.38,1.52,0.46
199701,4.98,-1.82,-1.65,1.05,-0.27,0.45
199702,-0.49,-2.54,5.18,0.53,3.42,0.39
199703,-5.02,-0.44,3.78,0.85,1.66,0.43
199704,4.04,-5.74,-0.07,2.9,-0.91,0.43
199705,6.74,4.64,-3.91,-1.14,-2.91,0.49
199706,4.1,1.24,1.21,0.58,0.54,0.37
199707,7.33,-2.85,0.85,-0.4,-2.53,0.43
199708,-4.15,7.66,1.37,-0.91,-0.04,0.41
199709,5.35,2.56,0.01,-1.39,-0.9,0.44
199710,-3.8,-0.48,1.94,1.22,1.88,0.42
199711,2.98,-5.03,0.77,3.19,1.67,0.39
199712,1.32,-1.98,3.45,1.35,1.9,0.48
199801,0.15,-1.41,-1.43,0.57,-0.86,0.43
199802,7.04,-0.04,-0.15,-0.95,-2.44,0.39
199803,4.76,-0.61,1.03,-0.64,-0.48,0.39
199804,0.73,-0.02,0.78,-2.19,-0.22,0.43
