public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20100228,BUSSV,409,0.029091,0.031148,0.000,0.483,11.923,0.539,0.039,0.060,0.008,0.000
20100228,CHEMS,76,0.069751,0.057375,0.215,0.492,12.065,0.330,0.078,0.410,0.014,0.000
20100228,CHIPS,240,0.068703,0.051071,0.000,0.630,-1.340,0.397,-0.033,0.058,0.114,0.000
20100228,CLTHS,47,0.088994,0.064830,0.000,0.616,12.728,0.447,0.085,0.049,0.000,0.022
20100228,CNSTR,44,0.009998,0.020383,0.000,0.769,-0.425,0.146,-0.011,0.269,0.000,0.000
20100228,COAL,14,0.104246,0.109226,0.000,0.506,17.730,0.235,0.127,0.424,0.000,0.000
20100228,COMPS,137,0.056895,0.070155,0.000,0.473,9.242,0.543,0.019,0.041,0.120,0.000
20100228,DRUGS,287,0.015326,-0.003982,0.000,0.268,-2.953,0.365,-0.221,0.042,0.354,0.000
20100228,ELCEQ,67,0.036490,0.104969,0.000,0.693,7.402,0.317,0.023,0.176,0.032,0.000
20100228,FABPR,9,0.074997,0.078138,0.000,0.744,9.649,0.363,0.127,0.069,0.006,0.000
20100228,FIN,113,0.032430,0.039838,0.076,0.534,13.980,0.300,0.056,0.306,0.000,0.000
20100228,FOOD,63,0.037235,0.030544,0.088,0.514,14.824,0.311,0.131,0.370,0.000,0.005
20100228,FUN,47,0.015840,0.028057,0.000,0.804,10.037,0.362,0.007,0.470,0.000,0.012
20100228,GOLD,6,0.037519,0.140689,0.000,0.387,20.498,0.516,0.091,0.016,0.000,0.000
20100228,GUNS,8,0.051772,0.050392,0.000,0.516,9.138,0.232,0.226,0.278,0.015,0.000
20100228,HLTH,76,0.014178,0.017901,0.000,0.568,13.006,0.302,0.097,0.281,0.000,0.000
20100228,HSHLD,47,0.060974,0.035332,0.178,0.626,14.050,0.445,0.072,0.279,0.009,0.026
20100228,INSUR,124,0.050860,0.036262,0.116,1.103,8.262,0.148,0.110,0.206,0.000,0.000
20100228,LABEQ,80,0.088333,0.069492,0.000,0.553,-2.354,0.471,-0.012,0.089,0.108,0.000
20100228,MACH,109,0.053045,0.083392,0.116,0.571,10.794,0.324,0.011,0.220,0.020,0.000
20100228,MEALS,67,0.075608,0.046666,0.000,0.593,10.844,0.210,0.051,0.423,0.000,0.023
20100228,MEDEQ,125,0.037872,0.020733,0.000,0.433,-0.648,0.599,0.013,0.118,0.090,0.000
20100228,MINES,17,0.089232,0.106855,0.160,0.360,12.826,0.339,0.034,0.284,0.000,0.000
20100228,OIL,152,0.041428,0.022905,0.000,0.703,-3.558,0.337,-0.051,0.338,0.000,0.000
20100228,OTHER,22,-0.007760,0.009286,0.000,0.629,10.723,0.329,0.037,0.392,0.000,0.000
20100228,PAPER,39,0.020271,0.007428,0.068,0.668,9.548,0.264,0.094,0.380,0.005,0.000
20100228,PERSV,51,0.056271,0.019601,0.000,0.640,18.244,0.483,0.072,0.344,0.000,0.006
20100228,RLEST,22,0.025117,0.063638,0.000,0.762,2.281,0.360,0.007,0.387,0.000,0.000
20100228,RTAIL,178,0.064108,0.043120,0.000,0.638,14.412,0.332,0.061,0.231,0.000,0.016
20100228,RUBBR,19,0.065686,0.074822,0.052,0.625,9.638,0.303,0.070,0.351,0.014,0.000
20100228,SHIPS,8,0.086278,0.046621,0.170,0.804,13.169,0.162,0.036,0.251,0.003,0.000
20100228,SMOKE,6,0.074748,0.043564,0.857,0.081,14.091,0.541,0.546,0.837,0.009,0.012
20100228,SODA,10,0.131299,0.076775,0.068,0.559,13.606,0.457,0.149,0.513,0.000,0.018
20100228,STEEL,44,0.026591,0.044824,0.234,0.723,-4.353,0.161,-0.018,0.256,0.000,0.000
20100228,TELCM,103,0.033843,0.025670,0.000,0.541,0.816,0.559,0.025,0.559,0.000,0.005
20100228,TOYS,22,0.117841,0.142236,0.000,0.821,-1.262,0.413,-0.013,0.223,0.035,0.020
20100228,TRANS,89,0.078439,0.077300,0.000,0.756,10.752,0.210,0.049,0.393,0.000,0.000
20100228,TXTLS,9,0.092682,0.156868,0.000,0.940,-0.767,0.296,-0.002,0.528,0.000,0.000
20100228,UTIL,101,0.005292,-0.004063,0.622,0.920,13.977,0.251,0.073,0.577,0.000,0.000
20100228,WHLSL,108,0.055041,0.057982,0.000,0.709,13.638,0.197,0.077,0.308,0.000,0.000
20100331,AERO,19,0.154606,0.110195,0.067,0.568,17.681,0.294,0.106,0.329,0.029,0.000
20100331,AGRIC,11,0.007402,0.020500,0.000,0.639,8.587,0.223,0.095,0.356,0.000,0.000
20100331,AUTOS,51,0.114900,0.085509,0.000,0.648,1.224,0.203,0.008,0.365,0.021,0.000
